Isobaric ID	Metabolites IDs	Precursor Name	Precursor Formula	Precursor m/z	Precursor Adduct	Precursor Charge	Retention Time
XXX	XXX	GSSG	C20H32N6O12S2	611.14468	[M-H]	-1	0.3
XXX	XXX	NAADP	C21H27N6O18P3	743.05219	[M-H]	-1	0.3
XXX	XXX	NAD	C21H27N7O14P2 	662.10184	[M-H]	-1	0.3
XXX	XXX	NADH	C21H29N7O14P2	664.11749	[M-H]	-1	0.3
XXX	XXX	NADPH	C21H30N7O17P3	744.08382	[M-H]	-1	0.3
XXX	XXX	CoASH	C21H36N7O16P3S	766.10793	[M-H]	-1	0.3
XXX	XXX	Stachyose	C24H42O21	665.21458	[M-H]	-1	0.3
XXX	XXX	FAD	C27H33N9O15P2	784.14986	[M-H]	-1	0.3
XXX	XXX	Oxalate	C2H2O4	88.98803	[M-H]	-1	0.3
XXX	XXX	Gly	C2H5NO2	74.02475	[M-H]	-1	0.3
XXX	XXX	PAcetate	C2H5O5P	138.98018	[M-H]	-1	0.3
XXX	XXX	OPEthanolamine	C2H8NO4P	140.01182	[M-H]	-1	0.3
XXX	XXX	Mesoxalate	C3H2O5	116.98295	[M-H]	-1	0.3
XXX	XXX	Pyruvate	C3H4O3	87.00877	[M-H]	-1	0.3
XXX	XXX	Malonate	C3H4O4	103.00368	[M-H]	-1	0.3
XXX	XXX	OHPyr	C3H4O4	103.00368	[M-H]	-1	0.3
XXX	XXX	NFormylGly	C3H5NO3	102.01967	[M-H]	-1	0.3
XXX	XXX	PEP	C3H5O6P	166.9751	[M-H]	-1	0.3
XXX	XXX	Propionate	C3H6O2	73.0295	[M-H]	-1	0.3
XXX	XXX	Lactate	C3H6O3	89.02442	[M-H]	-1	0.3
XXX	XXX	Glycerate	C3H6O4	105.01933	[M-H]	-1	0.3
XXX	XXX	Ala	C3H7NO2	88.0404	[M-H]	-1	0.3
XXX	XXX	Ser 	C3H7NO3 	104.03532	[M-H]	-1	0.3
XXX	XXX	SulfinoAla	C3H7NO4S	152.0023	[M-H]	-1	0.3
XXX	XXX	Cysteate	C3H7NO5S	167.99722	[M-H]	-1	0.3
XXX	XXX	DHAP	C3H7O6P	168.99075	[M-H]	-1	0.3
XXX	XXX	2PG_3PG	C3H7O7P	184.98566	[M-H]	-1	0.3
XXX	XXX	PSer	C3H8NO6P	184.00165	[M-H]	-1	0.3
XXX	XXX	GlyceroP	C3H9O6P	171.0064	[M-H]	-1	0.3
XXX	XXX	Erythritol-Threitol	C4H10O4	121.05063	[M-H]	-1	0.3
XXX	XXX	SeCystamine	C4H12N2Se2	246.92582	[M-H]	-1	0.3
XXX	XXX	Uracil	C4H4N2O2	111.02	[M-H]	-1	0.3
XXX	XXX	Fumarate-Maleate	C4H4O4	115.00368	[M-H]	-1	0.3
XXX	XXX	OxaloAc	C4H4O5	130.9986	[M-H]	-1	0.3
XXX	XXX	Allantoin	C4H6N4O3	157.03671	[M-H]	-1	0.3
XXX	XXX	AcetoAc	C4H6O3	101.02442	[M-H]	-1	0.3
XXX	XXX	Succ-mMalonate	C4H6O4	117.01933	[M-H]	-1	0.3
XXX	XXX	Malate	C4H6O5	133.01425	[M-H]	-1	0.3
XXX	XXX	Tartarate	C4H6O6	149.00916	[M-H]	-1	0.3
XXX	XXX	NAcGly	C4H7NO3	116.03532	[M-H]	-1	0.3
XXX	XXX	Asp	C4H7NO4	132.03023	[M-H]	-1	0.3
